0.105	47.46
0.105	29.75
0.112	37.56
0.085	18.38
0.138	75.03
0.1	30.69
0.115	46.22
0.116	48.75
0.12	54.97
0.117	52.73
0.147	102.68
0.11	47.62
0.1	39.42
0.1	40.67
0.114	42.14
0.109	37.89
0.121	100.90
0.119	52.63
0.131	88.28
0.12	56.88
0.112	47.98
0.118	57.00
0.135	85.95
0.113	53.28
0.13	80.08
0.123	70.07
0.118	64.11
0.121	69.95
0.105	36.55
0.111	44.92
0.119	57.28
0.134	84.85
0.068	31.19
0.101	38.64
0.1	38.85
0.108	49.16
0.113	57.05
0.122	72.19
0.113	59.78
0.113	61.15
0.106	53.24
0.121	76.37
0.129	78.53
0.134	90.55
0.117	60.11
0.108	48.33
0.122	89.43
0.115	61.15
0.102	44.64
0.113	60.82
0.101	45.97
0.036	11.47
0.043	13.55
0.087	35.38
0.108	60.18
0.122	84.67
0.121	44.56
0.11	34.26
0.072	11.41
0.109	35.97
0.116	63.55
0.11	39.61
0.099	31.14
0.101	34.01
0.105	38.77
0.097	33.28
0.094	32.25
0.075	22.45
0.075	23.55
0.083	28.69
0.092	21.59
0.104	32.83
0.108	38.15
0.08	17.55
0.081	39.22
0.083	21.50
0.092	28.72
0.081	22.60
0.089	28.88
0.092	32.29
0.083	27.18
0.091	33.89
0.086	31.43
0.089	34.73
0.09	22.66
0.095	27.96
0.089	24.24
0.084	21.80
0.083	43.27
0.077	19.72
0.074	19.19
0.082	25.01
0.079	24.23
0.086	30.10
0.079	26.46
0.09	35.59
0.088	35.12
0.088	36.29
0.084	20.36
0.081	67.37
0.078	18.52
0.086	25.32
0.08	44.06
0.084	26.06
0.08	24.30
0.136	105.05
0.085	30.27
0.081	28.37
0.103	50.93
0.105	54.78
0.098	47.47
0.076	29.42
0.08	12.49
0.084	15.56
0.084	16.70
0.083	17.33
0.084	41.99
0.075	15.86
0.088	23.55
0.086	23.53
0.082	22.48
0.036	11.04
0.076	21.80
0.08	24.82
0.084	28.12
0.086	30.45
0.081	14.72
0.085	18.14
0.094	25.46
0.083	19.23
0.087	46.85
0.098	32.38
0.088	25.84
0.104	40.51
0.077	21.54
0.139	95.50
0.118	61.27
0.138	96.89
0.12	67.00
0.103	47.14
0.119	54.41
0.127	68.66
0.059	8.80
0.126	69.99
0.121	88.24
0.115	55.71
0.117	60.00
0.124	72.60
0.126	77.61
0.119	67.32
0.059	17.17
0.13	89.79
0.171	209.45
0.175	228.18
0.15	128.99
0.154	142.84
0.143	113.69
0.127	125.26
0.161	158.19
0.145	124.44
0.125	79.96
0.128	87.43
0.149	141.46
0.131	96.93
0.141	122.69
0.141	124.45
0.125	89.02
0.155	170.46
0.12	43.40
0.186	188.46
0.138	71.62
0.139	75.01
0.124	41.20
0.14	80.20
0.167	142.58
0.138	80.15
0.146	96.90
0.156	120.85
0.178	186.28
0.187	221.74
0.118	58.20
0.116	57.14
0.118	47.04
0.148	100.25
0.139	83.43
0.147	101.79
0.137	72.03
0.135	80.97
0.136	84.50
0.132	78.82
0.145	106.59
0.14	97.56
0.149	119.71
0.126	74.85
0.12	67.00
0.148	122.97
0.124	62.12
0.117	52.94
0.118	55.80
0.113	50.22
0.141	107.49
0.117	58.59
0.116	58.53
0.139	102.19
0.127	79.42
0.144	117.58
0.125	78.86
0.132	93.81
0.152	144.86
0.129	90.97
0.134	88.91
0.17	198.83
0.173	213.46
0.134	139.83
0.095	18.52
0.157	160.65
0.157	162.74
0.18	257.79
0.159	173.82
0.178	253.72
0.164	196.55
0.181	273.67
0.136	113.42
0.183	289.44
0.199	234.37
0.161	115.83
0.151	95.67
0.181	177.27
0.156	93.52
0.191	218.93
0.141	83.74
0.165	139.43
0.179	184.28
0.175	173.78
0.194	247.02
0.142	94.46
0.172	171.83
0.114	54.77
0.108	35.51
0.14	83.62
0.156	121.32
0.134	75.87
0.128	45.33
0.133	77.36
0.138	88.35
0.124	65.64
0.171	179.25
0.161	149.92
0.137	93.17
0.146	114.41
0.144	111.62
0.141	106.70
0.144	101.25
0.132	77.71
0.142	100.24
0.128	73.50
0.143	118.13
0.141	103.25
0.141	105.01
0.146	118.95
0.143	113.32
0.134	94.70
0.147	127.13
0.135	100.13
0.147	130.87
0.131	94.97
0.135	91.10
0.149	128.07
0.144	116.29
0.136	98.35
0.13	106.85
0.145	124.44
0.136	103.37
0.142	120.02
0.156	163.56
0.144	128.99
0.132	100.75
0.131	100.12
0.144	134.44
0.129	98.89
0.127	52.07
0.14	73.23
0.139	73.28
0.138	73.32
0.124	34.20
0.116	45.95
0.12	52.07
0.122	56.05
0.119	53.73
0.125	63.06
0.138	85.27
0.135	81.71
0.136	85.11
0.142	98.01
0.122	52.35
0.115	44.72
0.125	59.63
0.13	69.02
0.126	41.18
0.12	56.88
0.112	47.98
0.111	48.15
0.105	42.82
0.121	64.11
0.107	47.56
0.135	90.92
0.122	70.00
0.099	43.16
0.109	41.13
0.119	55.84
0.099	32.88
0.101	77.13
0.105	15.71
0.103	40.77
0.108	47.85
0.117	61.41
0.1	41.35
0.115	61.26
0.101	44.91
0.094	39.12
0.093	39.40
0.111	61.07
0.108	44.38
0.117	58.70
0.102	39.58
0.103	42.03
0.117	84.93
0.107	49.63
0.122	74.37
0.103	47.11
0.11	57.73
0.097	42.68
0.1	47.30
0.103	52.20
0.108	60.18
0.115	72.25
0.111	33.88
0.112	36.21
0.109	34.65
0.109	35.97
0.109	63.30
0.093	25.56
0.098	30.37
0.1	33.19
0.109	42.60
0.107	41.95
0.096	33.74
0.098	36.52
0.097	36.95
0.096	37.38
0.094	23.06
0.092	22.78
0.106	36.08
0.098	29.91
0.097	5.30
0.1	34.15
0.097	32.74
0.096	33.12
0.101	38.83
0.1	39.14
0.103	43.32
0.108	50.00
0.098	41.00
0.095	39.54
0.096	27.63
0.091	24.62
0.094	28.30
0.092	27.80
0.097	40.43
0.099	36.60
0.093	32.23
0.102	42.22
0.104	45.71
0.101	43.65
0.097	40.77
0.099	44.03
0.094	40.32
0.103	50.94
0.098	32.70
0.095	30.89
0.097	34.12
0.103	42.03
0.102	56.11
0.105	47.04
